t_s,codec,used_mib,total_mib,util_gpu,util_mem,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,torch_alloc_mib,torch_reserved_mib,torch_max_alloc_mib,message_id
79.7048,bf16,11958,12288,100,1,167.39,59,1995,9251,28297.7,28314,28307.6,1
79.8739,bf16,11958,12288,99,1,170.15,59,1995,9251,28297.7,28314,28307.6,1
80.0432,bf16,11958,12288,99,1,170.15,59,1995,9251,28297.7,28314,28307.6,1
80.2271,bf16,11958,12288,99,1,169.9,60,1995,9251,28302.4,28314,28307.6,1
80.3976,bf16,11958,12288,99,1,169.9,60,1995,9251,28297.7,28314,28307.6,1
80.5667,bf16,11958,12288,99,1,169.9,60,1995,9251,28297.7,28314,28307.6,1
80.7373,bf16,11958,12288,100,1,169.8,60,1995,9251,28297.8,28314,28307.6,1
80.9086,bf16,11958,12288,100,1,169.8,60,1995,9251,28297.8,28314,28307.6,1
81.0772,bf16,11958,12288,100,1,169.8,60,1995,9251,28297.8,28314,28307.6,1
81.2449,bf16,11958,12288,100,1,169.81,60,1995,9251,28297.9,28314,28307.6,1
81.4158,bf16,11958,12288,100,1,169.81,60,1995,9251,28297.8,28314,28307.6,1
81.5862,bf16,11958,12288,100,1,169.81,60,1995,9251,28298.1,28314,28307.6,1
81.7573,bf16,11958,12288,100,1,167.48,60,1995,9251,28298.1,28314,28307.6,1
81.9302,bf16,11960,12288,100,1,167.48,60,1995,9251,28298,28316,28307.6,1
82.1022,bf16,11960,12288,100,1,167.48,60,1995,9251,28298,28316,28307.6,1
82.2714,bf16,11960,12288,100,1,170.2,60,1995,9251,28302.9,28316,28307.6,1
82.4419,bf16,11960,12288,100,1,170.2,60,1995,9251,28302.9,28316,28307.6,1
82.6117,bf16,11960,12288,100,1,170.2,60,1995,9251,28298.1,28316,28307.6,1
82.7799,bf16,11960,12288,99,1,170.27,60,1995,9251,28298.3,28316,28307.6,1
82.9484,bf16,11960,12288,99,1,170.27,60,1995,9251,28298.3,28316,28307.6,1
83.1207,bf16,11960,12288,99,1,170.27,60,1995,9251,28298.2,28316,28307.6,1
83.2904,bf16,11960,12288,99,1,170.2,60,1995,9251,28298.2,28316,28307.6,1
83.4770,bf16,11960,12288,99,1,170.2,60,1995,9251,28299.2,28316,28307.6,1
83.6465,bf16,11960,12288,99,1,170.2,60,1995,9251,28298.2,28316,28307.6,1
83.8169,bf16,11960,12288,99,1,170.29,60,1995,9251,28298.2,28316,28307.6,1
84.0008,bf16,11960,12288,99,1,170.29,60,1995,9251,28298.2,28316,28307.6,1
84.1693,bf16,11960,12288,99,1,170.29,60,1995,9251,28298.3,28316,28307.6,1
84.3402,bf16,11960,12288,99,1,167.51,60,1995,9251,28298.5,28316,28307.6,1
84.5127,bf16,11960,12288,99,1,167.51,60,1995,9251,28298.4,28316,28307.6,1
